simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,KITTN,14
GRAY_N_WHITE,MALE,0,OTHER,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,10
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,11
BRN_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,SMALL,3
OTHER,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,64
GRAY_N_WHITE,FEMALE,0,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,32
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,41
BLACK_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,11
BLACK_N_WHITE,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,60
TORTIE,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,9
BRN_TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,25
ORG_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,66
BLACK_N_WHITE,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,32
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,18
GRAY_TABBY,FEMALE,1,ILL,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,64
ORG_TABBY,MALE,0,OTHER,STRAY,DOMESTIC_SHORT_HAIR,SMALL,41
BRN_TABBY,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,57
BRN_TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,30
BRN_TABBY,MALE,4,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,SMALL,16
GRAY_TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,14
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,40
GRAY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,OTHER,8
BRN_TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,15
BLACK,FEMALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,68
BLACK,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,OTHER,37
ORG_TABBY,MALE,0,ILL,STRAY,DOMESTIC_SHORT_HAIR,KITTN,64
BLACK_N_WHITE,MALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,24
OTHER,FEMALE,0,HEALTHY,STRAY,DOMESTIC_SHORT_HAIR,KITTN,82
ORG_TABBY,MALE,10,ILL,OWNER SURRENDER,DOMESTIC_MED_OR_LONG_HAIR,SMALL,12
GRAY_N_WHITE,MALE,1,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,SMALL,12
GRAY,MALE,0,HEALTHY,STRAY,DOMESTIC_MED_OR_LONG_HAIR,KITTN,36
BLACK,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC_SHORT_HAIR,KITTN,57
MIX,MALE,0,HEALTHY,STRAY,OTHER,KITTN,17
