intake_type,intake_condition,sex_intake,age_intake,breed,color,sex_outcome,age_outcome,stay_length
3,7,1,36,2,4,2,36,7
3,3,0,108,2,0,3,12,92
3,7,1,24,2,2,2,24,10
1,7,3,84,2,2,3,96,31
3,7,0,108,2,8,3,108,6
3,7,1,24,2,2,2,24,4
3,7,0,24,2,0,3,24,4
1,7,2,60,3,2,2,60,2
1,7,3,120,2,4,3,132,47
1,7,0,60,2,2,3,60,11
3,7,1,36,2,0,2,48,1761
3,7,2,24,2,4,2,24,10
3,7,0,24,2,0,3,24,10
3,7,0,36,2,7,3,60,40
3,7,1,24,2,2,2,24,5
3,7,3,72,2,1,3,72,7
3,7,1,12,2,0,1,24,7
1,7,2,48,2,2,2,48,3
3,7,0,36,2,1,3,24,66
3,7,1,12,2,0,2,24,14
1,7,3,24,2,2,3,24,13
1,7,0,24,2,7,3,36,1
3,7,0,12,2,2,3,24,57
3,7,1,12,2,2,2,24,18
3,7,0,12,2,2,3,24,28
3,7,0,36,2,7,3,24,53
1,7,0,12,2,0,3,12,84
3,7,0,36,2,1,3,24,59
3,7,0,48,1,8,3,48,101
1,7,2,12,3,5,2,12,3
1,7,1,24,2,1,2,24,2
3,7,0,36,1,0,3,36,4
1,7,3,84,2,2,3,84,80
1,7,0,12,1,0,3,12,3
1,7,0,60,2,0,3,60,11
3,7,1,12,2,4,2,12,24
3,7,1,48,2,0,2,24,38
1,7,1,12,2,2,2,24,39
1,7,1,48,2,1,2,24,44
3,7,1,12,2,5,2,24,24
3,3,2,12,2,2,2,12,116
3,7,0,24,2,3,3,24,5
1,7,1,12,2,2,2,36,66
3,7,2,60,0,0,2,84,761
3,7,1,24,2,2,2,36,5
3,7,1,24,3,5,2,24,67
3,7,1,24,3,5,1,24,45
3,7,1,12,3,5,2,24,4
2,7,2,72,2,2,2,72,18
3,7,1,48,2,2,2,24,34
3,7,1,24,2,4,2,24,4
3,7,1,24,3,5,2,24,6
3,7,0,24,2,1,3,24,14
3,7,1,12,3,2,2,24,49
3,7,1,12,2,8,2,24,43
3,7,0,12,2,5,3,12,15
3,7,0,48,2,1,3,60,4
3,7,3,12,2,7,3,24,48
1,7,1,12,2,4,2,24,12
3,3,1,24,2,2,2,24,10
3,7,1,36,1,2,2,24,57
1,7,1,60,2,0,2,60,10
3,7,0,12,1,0,3,24,23
3,7,0,48,2,0,3,24,41
1,7,3,96,2,0,3,96,51
1,7,0,24,2,8,3,24,10
1,7,1,36,2,4,2,36,9
3,7,1,12,1,4,2,24,20
1,7,1,12,2,5,2,24,15
3,7,1,36,2,1,2,36,72
1,7,3,12,2,5,3,12,8
2,7,0,72,1,2,3,72,13
3,7,1,12,2,1,2,36,56
3,7,0,12,2,3,3,24,11
1,7,2,168,2,2,2,168,56
3,7,0,48,0,2,3,24,44
3,7,0,12,2,1,0,24,9
3,7,1,12,1,2,2,24,12
3,7,1,12,2,1,2,24,39
1,7,3,72,2,0,3,84,146
3,7,1,72,2,4,2,72,4
3,7,1,48,2,0,2,12,29
3,7,0,12,2,8,3,36,72
3,7,1,48,2,0,2,24,37
1,7,0,60,2,7,3,72,13
1,7,2,72,0,0,2,72,28
1,7,2,36,2,8,2,36,13
3,7,1,12,2,2,2,12,3
3,7,1,12,1,2,2,36,58
3,7,0,12,2,1,3,24,44
1,7,3,36,2,2,3,36,25
3,7,0,12,2,0,3,24,42
3,7,0,24,2,1,3,36,78
3,7,0,12,1,7,3,12,101
3,7,1,12,2,0,2,24,3
3,7,0,24,3,1,3,24,7
3,7,0,48,1,5,3,72,164
3,7,0,12,2,3,3,24,39
3,7,0,12,2,0,0,24,18
3,7,1,12,2,0,2,24,34
3,7,0,12,2,2,3,48,1688
3,7,1,24,2,0,2,36,5
3,11,0,36,2,6,3,48,118
3,7,1,24,0,0,2,24,14
3,7,0,12,2,0,3,24,51
3,7,1,36,2,1,2,36,19
1,7,0,24,2,4,3,24,8
1,7,0,72,3,5,3,84,39
3,7,1,12,2,4,2,24,4
