intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
0,11,0,0,0,0,0,0,1,0,0,0,1
3,2,0,0,0,0,1,0,1,0,0,1,0
9,12,0,0,0,0,1,0,0,0,0,0,1
2,6,1,0,0,0,1,0,1,0,0,1,0
0,6,1,0,0,0,0,0,1,0,0,0,1
1,3,0,1,0,0,1,0,1,0,0,0,0
2,10,0,1,0,0,1,0,0,0,0,0,1
2,44,0,0,0,0,1,0,1,0,0,0,1
0,84,0,0,0,0,0,0,0,0,1,0,1
0,4,0,0,0,0,1,0,1,0,0,0,1
0,90,0,0,1,0,1,0,0,0,1,0,1
0,100,0,0,1,0,0,0,0,0,1,0,1
0,98,0,0,0,0,1,0,0,0,1,0,1
0,15,0,0,0,0,0,0,0,1,0,0,1
2,7,0,0,0,0,1,0,1,0,0,0,1
0,6,0,0,1,0,1,0,1,0,0,0,1
0,82,0,0,0,0,0,0,0,0,1,0,1
0,7,0,0,1,0,1,0,0,0,0,0,1
0,8,0,0,0,0,1,0,1,0,0,0,1
0,48,0,0,1,0,1,0,1,0,0,0,1
3,91,0,0,0,0,1,0,1,0,0,0,0
0,144,0,0,0,0,0,0,0,0,1,0,1
0,64,0,0,1,0,1,0,1,0,0,0,1
0,9,0,0,1,0,1,0,1,0,0,0,1
2,53,0,1,0,0,1,0,1,0,0,1,0
0,24,0,1,0,0,0,0,1,0,0,0,1
0,39,0,0,1,0,1,0,0,0,1,0,1
0,81,0,0,0,0,1,0,1,0,0,0,1
0,57,0,0,0,0,0,0,0,0,0,0,1
0,22,1,0,0,0,1,1,0,0,0,0,1
0,128,0,0,0,0,1,0,1,0,0,0,1
0,73,0,0,1,0,1,0,1,0,0,0,1
0,24,0,0,1,0,1,0,1,0,0,0,1
1,148,0,0,0,0,0,0,1,0,0,1,0
0,33,0,1,0,0,1,0,1,0,0,0,1
2,48,0,0,1,0,1,0,1,0,0,0,1
0,38,0,1,0,0,1,0,0,0,0,0,1
0,19,0,1,0,0,0,0,0,0,1,0,1
0,121,1,0,0,0,0,0,1,0,0,0,1
2,103,0,0,1,0,1,0,1,0,0,0,1
0,9,0,0,0,0,1,0,1,0,0,0,1
0,4,0,1,0,0,0,0,1,0,0,0,1
0,28,0,0,1,0,1,1,0,0,0,0,1
0,69,1,0,0,0,0,0,1,0,0,0,1
0,15,0,0,1,0,0,0,1,0,0,0,1
4,55,0,0,0,0,1,0,1,0,0,0,1
0,16,0,0,0,0,0,0,1,0,0,0,1
0,85,1,0,0,0,1,0,0,0,0,1,0
0,68,1,0,0,0,1,0,1,0,0,0,1
6,52,0,0,0,0,0,0,1,0,0,1,0
7,92,0,0,0,1,0,0,0,0,0,0,1
2,42,0,0,0,1,1,0,0,0,0,0,1
0,64,0,0,0,0,1,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,1,0,0,0,1
0,117,0,1,0,0,1,0,1,0,0,0,1
0,13,0,0,0,0,1,0,1,0,0,0,1
8,21,1,0,0,0,0,0,1,0,0,1,0
0,6,1,0,0,0,0,0,1,0,0,1,0
0,97,1,0,0,0,1,0,1,0,0,1,0
1,43,0,0,1,0,0,0,1,0,0,1,0
0,3,0,1,0,0,0,0,1,0,0,1,0
3,14,0,0,1,0,0,0,1,0,0,0,0
2,41,0,0,0,0,1,0,1,0,0,0,1
0,48,1,0,0,0,0,0,0,0,1,0,1
3,37,0,0,1,0,1,0,1,0,0,0,1
3,14,0,1,0,0,0,0,0,1,0,0,0
1,9,0,1,0,0,1,0,1,0,0,1,0
0,8,0,0,1,0,1,0,1,0,0,0,1
0,44,0,0,0,0,1,0,1,0,0,0,1
0,104,0,0,1,0,0,0,0,0,1,0,1
0,21,0,0,0,0,0,0,0,0,1,0,1
1,54,0,1,0,0,0,0,1,0,0,0,1
0,50,0,1,0,0,0,0,1,0,0,0,1
8,34,0,0,1,0,1,0,1,0,0,0,0
0,14,0,0,1,0,0,0,0,0,1,0,1
1,37,0,0,0,0,0,0,1,0,0,0,1
0,37,0,0,0,0,1,0,1,0,0,0,1
7,57,0,0,0,0,1,1,0,0,0,0,1
