age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
6,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
8,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
7,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
9,37,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,73,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,122,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,13,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
7,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
12,16,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
12,36,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,16,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6,23,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
8,138,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,42,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
13,21,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,182,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,25,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,24,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
9,15,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
8,86,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,56,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6,41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,32,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
7,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6,116,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
6,34,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
11,128,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
6,21,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6,68,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
6,19,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
6,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,85,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7,22,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
9,103,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
8,126,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,37,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,31,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,35,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
10,30,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,16,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,34,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
10,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,15,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,16,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
10,203,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
9,125,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
8,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
7,38,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5,123,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5,31,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
7,27,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
5,59,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,102,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,45,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,30,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
6,30,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
9,160,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,14,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
12,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
12,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
5,20,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
5,12,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
9,61,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,169,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5,67,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,91,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,72,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
8,14,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
5,81,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
5,91,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5,76,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5,39,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,53,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8,71,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,75,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,27,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
13,71,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,65,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
5,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,40,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
7,60,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
5,76,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,54,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,42,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
7,152,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,41,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5,30,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
7,23,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
9,38,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,77,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
12,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
5,10,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
6,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6,38,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
11,29,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5,21,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
5,11,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
7,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,29,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,159,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4,21,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
6,108,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,70,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,63,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,32,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,54,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
4,98,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
4,105,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
4,29,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,161,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
4,20,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,223,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
4,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,21,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
